post_id	date	message	num_likes	num_angry	num_shares
904277726319518_2831565216924083	2020-02-08T00:03:16+0000	"De que Guedes chamaria um servidor p\u00fablico que ficou 28 anos sem trabalhar e ainda \u201crachava\u201d o sal\u00e1rio dos funcion\u00e1rios do seu gabinete?"	11227	57	2225
904277726319518_2829292070484731	2020-02-06T22:47:49+0000	"TREVAS: Governo de Rond\u00f4nia, Chefiado pelo Coronel Marcos Rocha (PSL), que j\u00e1 foi chefe do Centro de Intelig\u00eancia da PM/RO e secret\u00e1rio municipal de educa\u00e7\u00e3o de Porto Velho, pede recolhimento de livros como Macuna\u00edma e Os Sert\u00f5es."	2768	4117	3383
904277726319518_2822205094526762	2020-02-03T13:23:18+0000	""	2247	314	1118
904277726319518_2820908857989719	2020-02-02T21:45:41+0000	"CV:\n- contas banc\u00e1rias usadas para abastecer Queiroz. \n- duas parentes nomeadas no gabinete do senador Fl\u00e1vio B. \n- defendido por Bolsonaro em discurso na C\u00e2mara, quando condenado por homic\u00eddio.\n- condecorado por Fl\u00e1vio B. com a Medalha Tiradentes"	3037	1043	1637
904277726319518_2819007631513175	2020-02-01T23:12:31+0000	"Entrevista que dei ao Brasil 247."	1182	3	89
904277726319518_2817903148290290	2020-02-01T10:55:48+0000	"Coluna da semana sobre o MEC em frangalhos."	1503	35	243
904277726319518_2816086435138628	2020-01-31T12:33:09+0000	"O prefeito Bruno Covas \u00e9 a mais nova v\u00edtima da s\u00edndrome das fake-news. Ele tem reiterado, em diversas entrevistas e manifesta\u00e7\u00f5es p\u00fablicas, estranhamente sem ser contraditado, que seu antecessor Jo\u00e3o Doria Jr., recebeu a Prefeitura de S\u00e3o Paulo com \u201crombo nas finan\u00e7as\u201d. Trata-se de mentira deslavada. \nTodas as ag\u00eancias de verifica\u00e7\u00e3o de dados, inclusive a LUPA, o Tribunal de Contas do Munic\u00edpio e at\u00e9 uma ag\u00eancia internacional de checagem atestaram que a gest\u00e3o Fernando Haddad deixou R$ 5,5 bilh\u00f5es em caixa e restos a pagar de R$ 2,2 bilh\u00f5es. Passados mais de tr\u00eas anos \u00e0 frente da Prefeitura Municipal de S\u00e3o Paulo, a gest\u00e3o Doria-Covas n\u00e3o conseguiu responder \u00e0s necessidades da cidade, aos seus diversos problemas estruturais, e apela agora descadaramente para uma fake news absurda."	8365	115	996
904277726319518_2815993118481293	2020-01-31T11:33:15+0000	"Al\u00e9m do Carnaval de Rua de SP, hoje o maior do pa\u00eds, um dos maiores acertos da nossa gest\u00e3o em SP foi a cria\u00e7\u00e3o da SPcine e as 20 salas p\u00fablicas de cinema nos CEUs."	1225	2	103
904277726319518_2813976112016327	2020-01-30T11:49:56+0000	"Acelera."	4354	264	2503
904277726319518_2812827805464491	2020-01-29T21:20:17+0000	"Weintraub hoje:\n- Funcion\u00e1rios do MEC afirmam que resultado do Enem n\u00e3o \u00e9 100% confi\u00e1vel\n- MPF encontra ind\u00edcio de falha no Sisu na reserva de vagas para pessoas com defici\u00eancia\n- Novo problema no Sisu: estudantes dizem n\u00e3o conseguir se inscrever na lista de espera"	2940	564	440
904277726319518_2812792968801308	2020-01-29T21:00:46+0000	"Acompanhe, daqui a pouco, no Brasil 247."	2116	2	104
